label,file_type,source_class,fileSize_log10,shannonEntropy,isExecutable,isScript,isDLL,nullByteRatio,printableAsciiRatio,highByteRatio,byteMean,byteStdDev,controlCharRatio,whitespaceRatio,uniqueByteCount,longestNullRun,entropyFirstQuarter,entropyLastQuarter,isPE,peNumSections,peMaxSectionEntropy,peCodeSectionRatio,peEntryPointInCode,peHasDebugInfo,peImportCount,peExportCount,peResourceRatio,peSectionNameAnomaly,peTimestampAnomaly,peVirtualSizeRatio,stringCount,stringDensity,avgStringLength,maxStringLength,suspiciousStringCount,urlCount,ipAddressCount,registryPathCount,base64StringCount,hashPartialMatch
1,pe_binary,synthetic_malware,4.688935254452201,5.756116701868783,1.0,0.0,1.0,0.09895388398306008,0.38053290287041464,0.34207569872763055,0.5100827542725952,0.6591791756726846,0.01982405582865758,0.03234245635905934,0.8999313934092793,0.0076005071299308875,0.6246925607960028,0.6689588614643863,1.0,0.17018640159244292,0.6308219468763949,0.300096975345402,1.0,0.0,0.4535967152965891,0.0,0.017528396745989022,0.0,0.0,0.10601672022950838,2.791505370349203,0.1288351228558795,0.07935050078352504,0.15579423219616279,0.5036236346774149,0.18245747814407967,0.22769366952973738,0.6856132293668173,0.16020440168939892,0.0
1,script,synthetic_malware,2.325067113983147,3.884509942903475,0.0,1.0,0.0,0.008246427369316132,0.8917256725410326,0.0049461446446188075,0.3375465620309518,0.22383121961153313,0.006009441063243197,0.12239239763414463,0.5350939987344258,0.0011998136425128627,0.6671616133652745,0.8317115364800004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3710496360841407,0.596832232858644,0.0853215962333032,0.4207182790597717,0.49078199875340467,0.07265213529836967,0.38104805557664434,0.30269171231985714,0.4444771899754741,0.0
1,pe_binary,synthetic_malware,5.653120154644065,6.1236645356511,1.0,0.0,0.0,0.05824409533945529,0.2917502114865742,0.3510961303539076,0.5146728598594551,0.5582908110141583,0.0227016193690925,0.02919524032970467,0.8585070805724384,0.007272737520736817,0.9144584224004885,0.48271715272096805,1.0,0.4256228436239592,0.8064711386544884,0.19780173342910992,1.0,0.0,0.34727799218408006,0.0,0.09212329182010545,0.0,0.0,0.0009048300006158361,2.3661362147259775,0.0728999411986434,0.14279195866967345,0.1252913147829674,0.46393866752405283,0.38300530422430973,0.1549140050982851,0.13906857849496912,0.1828775905090676,0.0
1,pe_binary,synthetic_malware,4.611965438688046,7.792018403044892,1.0,0.0,1.0,0.044336310226776345,0.09850747154615683,0.4762348484369552,0.5013501280455886,0.5960690956446585,0.02387900288574802,0.009410623907943786,0.9880845558655965,0.0011834102017226115,0.8770634922673807,0.8799414115077387,1.0,0.11484411706909338,0.9494504141785735,0.08560648003554966,0.0,0.0,0.04078324518881704,0.0,0.008746682549670282,1.0,1.0,0.6634244547125845,0.9779049265408295,0.019448416426943352,0.04613585780434656,0.04009570388012617,0.06808883506730082,0.0,0.0,0.0,0.05721695071859621,0.0
0,pe_binary,synthetic_benign,4.776449045850781,4.537833733516824,1.0,0.0,1.0,0.11521709317483994,0.2022146551558454,0.47238406105150593,0.30354970584351265,0.503151723527492,0.009676232895031396,0.05831232546043163,0.9636705758313542,0.01111811623986492,0.5986411089292528,0.37098212718310936,1.0,0.1493501049565133,0.6635318360959274,0.14708160712868856,1.0,1.0,0.21372969718022106,1.0,0.1723873721492481,0.0,0.0,0.06607448598727694,2.5893862588576555,0.13048752655995655,0.13444521797992254,0.05273414227868154,0.02213293907626295,0.0,0.0,0.0,0.0586079779600896,0.0
1,pe_binary,synthetic_malware,4.811700583863199,5.563355162760416,1.0,0.0,1.0,0.13092982153810598,0.3019534536043221,0.2758250732372963,0.4665416989781187,0.5054672889296172,0.016739032571373994,0.0269208689961203,0.9313670751900976,0.006618975199923339,0.6363676486702032,0.955813318090327,1.0,0.3631634100856957,0.7227546279065724,0.258366187194253,1.0,0.0,0.4940360406749067,0.0,0.01931861600883686,1.0,0.0,0.16303784469849075,2.377082486032071,0.16157826431532343,0.1699217605703054,0.1556754557181521,0.9315324714354964,0.04984703873925089,0.2979765462056695,0.519625083858647,0.07997726056760879,0.0
1,pe_binary,synthetic_malware,4.304307448295715,7.242444677811395,1.0,0.0,0.0,0.05721152485647238,0.1814643259158509,0.4809154429530777,0.40036403458980113,0.5513942719088629,0.04415978944609277,0.008642234453557352,0.9793917328452224,0.0018551988811642004,1,0.8612820349671301,1.0,0.23418851144487962,0.9506765671073478,0.16101598912139015,0.0,0.0,0.0,0.0,0.017075506974387287,1.0,1.0,0.9448658718292122,0.663821296846566,0.041024405671202274,0.0575577378201569,0.027230000158467958,0.09434957563850517,0.0,0.0,0.0,0.10190468759869804,0.0
1,pe_binary,synthetic_malware,4.9777026026780735,5.6508669167848575,1.0,0.0,1.0,0.14315665538208236,0.31086885967291655,0.35013523946229985,0.4394161677514227,0.5351703844628573,0.032201818497515376,0.023593569253912525,0.9169023301548608,0.004734688208306746,0.702882895436613,0.7297457087061876,1.0,0.4247705043981118,0.597231702489872,0.3188382420211035,1.0,0.0,0.15507166845804427,0.0,0.10415828730443738,1.0,1.0,0.2903895825910966,2.0461213070494333,0.10356962379936564,0.10732377074252188,0.1789229311239336,0.6783306173231044,0.27403095698630436,0.06897294049625724,0.5400948406857863,0.04749544335457795,0.0
1,script,synthetic_malware,4.232283501167487,5.479765627753953,0.0,1.0,0.0,0.0183424965896422,0.9101771050283656,0.010420110194484885,0.31084099222863454,0.2666709331017565,0.00438707288119242,0.07293620088358735,0.2878907996364653,0.001547158951894222,0.6089309373679597,0.7526514352018474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.076871169113491,0.5824694977976898,0.17901621816676838,0.25751594292219204,0.4015015206731969,0.41821900378734256,0.04376267422430383,0.38144103634961385,0.5484152020799828,0.0
1,script,synthetic_malware,2.5723559882460694,4.97414946937575,0.0,1.0,0.0,0.010265005683502908,0.7572940772954613,0.011005895228525887,0.31557207627677436,0.1997670460426674,0.006367039150481452,0.21367592428586668,0.33998679560023815,0.0,0.3940067182436965,0.6095376490828401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5503246386763694,0.5944914503599095,0.1093162715054792,0.2307488530442076,0.6559620849103255,0.21650726667199383,0.0,0.36675858470675854,0.2620048292326467,0.0
