label,fileSize_log10,shannonEntropy,isExecutable,isScript,isDLL,nullByteRatio,printableAsciiRatio,highByteRatio,byteMean,byteStdDev,controlCharRatio,whitespaceRatio,uniqueByteCount,longestNullRun,entropyFirstQuarter,entropyLastQuarter,isPE,peNumSections,peMaxSectionEntropy,peCodeSectionRatio,peEntryPointInCode,peHasDebugInfo,peImportCount,peExportCount,peResourceRatio,peSectionNameAnomaly,peTimestampAnomaly,peVirtualSizeRatio,stringCount,stringDensity,avgStringLength,maxStringLength,suspiciousStringCount,urlCount,ipAddressCount,registryPathCount,base64StringCount,hashPartialMatch
1,4.870964541669535,5.490923845897264,1.0,0.0,1.0,0.10058657048704137,0.24709494658643485,0.2298682905724706,0.46725166603679524,0.5412405470549989,0.023891426880049665,0.033077952792758346,0.8858797709219922,0.00655001362864116,0.6962916907091682,0.8060272733948264,1.0,0.29183826944149244,0.7749946278737118,0.15569475366687519,1.0,0.0,0.563256907260842,0.0,0.05076872926898002,0.0,0.0,0.13066819453632134,2.619929967888826,0.1166050325226527,0.052477373123397175,0.08097739563025802,0.9254736507238652,0.3408510736211566,0.06380404511083837,0.650953959009662,0.22370342577723057,0.0
0,3.7572930333948067,4.226122108597408,0.0,0.0,0.0,0.017248684843378798,0.7205980229055089,0.039558342774230065,0.3343880108775276,0.19593112439038599,0.0206287246319738,0.2195790218298303,0.3934704360335093,0.0013066674740305573,0.6354945805279156,0.6013765188723176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7040862849404965,0.49782127238510826,0.05896859043882601,0.027752560223182468,0.0,0.023487424785175362,0.0,0.0,0.0,0.0
1,6.000604362024482,5.926254906269797,1.0,0.0,0.0,0.10953839449236695,0.16876935048288627,0.2941361111731751,0.4555940583861095,0.5675235693712468,0.02142967131580946,0.027092401114273044,0.9100354159921449,0.0067434120478383555,0.8854819363663242,0.6878899082934045,1.0,0.3601500088960729,0.778845598733426,0.19374993847498906,1.0,0.0,0.5218826315766504,0.0,0.0919990487003834,1.0,1.0,0.0,1.7020958513706952,0.05223585010294146,0.08049557392635866,0.03548307638705807,0.7927147120300572,0.30579836265164945,0.30297683436465006,0.4280372471623461,0.021954246434634006,0.0
0,3.9337452598120013,5.097306214892551,0.0,0.0,0.0,0.02224091725540686,0.9840925603108001,0.015971164896271026,0.34238956142027743,0.14015510526868363,0.007430117147352337,0.13059092712016712,0.3081246602105564,0.000613795691207874,0.5326340857732661,0.5399179193813236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152612864371199,0.55493843779096,0.06606162015439578,0.01334779946705806,0.0,0.039839007554442134,0.0,0.0,0.0,0.0
0,4.598015778007513,4.619517978423679,0.0,0.0,0.0,0.019047580628367405,0.6861097950414967,0.03625069896453005,0.35895643242452163,0.145458112027693,0.014395214486162839,0.24146556695236587,0.2947869918268034,0.0011191257210715997,0.5051623329418958,0.4632137301143674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.381923304999865,0.756046954292049,0.0883211912201034,0.040175177829972535,0.0,0.04808305038006772,0.0,0.0,0.0,0.0
1,3.3126951070981727,4.908840179031583,0.0,1.0,0.0,0.002010629741575726,0.8870195011222979,0.003513127171565258,0.3515013937927735,0.19301607513351376,0.015292336108580624,0.20454217242922978,0.2954906522288181,0.000257341036652472,0.5655732972890521,0.8187148309978745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9561725634450198,0.6389887217568097,0.16995934299013093,0.22360664096624905,0.40689783964174076,0.29051342613402314,0.0,0.21031887533568072,0.30554932468970264,0.0
1,2.2594882872406297,4.582739582391171,0.0,1.0,0.0,0.004106915313322706,0.8730021337922128,0.0064571168420112495,0.4238728051831254,0.14463954004832827,0.00708700589179664,0.23880863428759444,0.2070639479667246,0.001282950218550012,0.6369492754029287,0.6414397352285512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.023551217334806,0.6479579418704219,0.17752281341072154,0.15643138222572042,0.2420141535204464,0.3931436090119155,0.10026812252136419,0.3063598000827463,0.6627158182702323,0.0
1,4.336334696215142,7.315002975794873,1.0,0.0,1.0,0.03224122337055217,0.09909472160201938,0.492384059713052,0.5064410789333534,0.612248065561541,0.025367020562183346,0.007481440286627323,0.9837056550673469,0.0007979642979951387,0.9116339149269252,0.8807968698305662,1.0,0.07007361140340793,0.9726876663379903,0.15723319997040128,0.0,0.0,0.0478204293860169,0.0,0.018283695888553737,1.0,1.0,0.6800199264756899,0.6939331221275657,0.025822172952473164,0.03949892515749502,0.026548943427887554,0.14296521908844312,0.0,0.0,0.0,0.12252071569660525,0.0
1,5.022196362433008,7.087974160812414,1.0,0.0,1.0,0.018161269327544853,0.026711198681263634,0.7201543943545312,0.5183575619730544,0.6102443786363903,0.0,0.013424646161125472,1.0,0.0,0.7889047038848727,0.8780005877394453,1.0,0.2193470114843616,0.9699262813576122,0.01937392111775986,1.0,0.0,0.044736484147238485,0.0,0.02787437657838153,1.0,1.0,1.0,-0.17406350592167663,0.01411582639025771,0.06568114028841052,0.04797844132787741,0.05514644044475714,0.0,0.0,0.0,0.09238908461995778,0.0
1,5.804110755728746,7.012030805306371,1.0,0.0,1.0,0.07901898215647012,0.08890676537025802,0.6281774820249619,0.5345004637183589,0.6595058696597692,0.036768093139496784,0.012872848368283615,0.9859171340154114,0.000279446075021356,0.9435793897547411,0.8831084826178079,1.0,0.13696945927049103,0.9494161091014073,0.012097104817436935,1.0,0.0,0.03802996817888146,0.0,0.02249305212785894,1.0,0.0,0.780406719852655,1.1409318832447344,0.021921771434290978,0.05212887473807229,0.07469067569771293,0.12097039072699059,0.0,0.0,0.0,0.08135519761312973,0.0
